id,shapeName,year,op,inv,pop,ent,tc,ntl
114,El Seibo,0,1671.34,407571.3333,67870.0625,2,3811.5,0.110684963
115,Jánico,0,0.0,0.0,16453.51953,0,0.0,0.093104069
116,Salcedo,0,0.0,0.0,39066.36719,0,0.0,0.534933747
117,Restauración,0,0.0,0.0,9559.168945,0,0.0,0.015758099
118,San Gregorio de Nigua,0,4362.28,414699035.6,41378.83203,47,7385.88,2.469410602
119,Cayetano Germosén,0,0.0,0.0,7154.197266,0,0.0,1.134563785
120,Galván,0,0.0,0.0,16973.30273,0,0.0,0.129096098
121,Gaspar Hernández,0,0.0,0.0,41752.64844,0,0.0,0.155497209
122,Guayabal,0,0.0,0.0,6784.13623,0,0.0,0.019137282
123,Jaquimeyes,0,0.0,0.0,5677.226074,0,0.0,0.071114
124,Laguna Salada,0,0.0,0.0,29751.24219,0,0.0,0.296228326
125,La Mata,0,0.0,0.0,37793.00781,0,0.0,0.344890375
126,Las Matas De Farfán,0,0.0,0.0,45528.78125,0,0.0,0.235438786
127,Las Terrenas,0,0.0,0.0,20788.98047,0,0.0,0.51929166
128,Loma De Cabrera,0,0.0,0.0,16709.4375,0,0.0,0.090022262
129,Nagua,0,0.0,0.0,79821.14063,0,0.0,0.19656045
130,Partido,0,0.0,0.0,6618.306641,0,0.0,0.042796852
131,Pedro Santana,0,0.0,0.0,8841.231445,0,0.0,0.00396668
132,Duvergé,0,0.0,0.0,11195.61816,0,0.0,0.079611616
133,Sabana Yegua,0,0.0,0.0,14881.78125,0,0.0,0.343983448
134,Samaná,0,0.0,0.0,52864.76953,0,0.0,0.285714339
135,Los Alcarrizos,0,7561.6,46994324.91,265873.125,20,15184.68,13.32205314
136,Nizao,0,0.0,0.0,33070.20313,0,0.0,1.54608447
137,Polo,0,0.0,0.0,7694.193359,0,0.0,0.016308534
138,Quisqueya,0,0.0,0.0,17808.63867,0,0.0,0.859434211
139,Bánica,0,0.0,0.0,7467.378906,0,0.0,0.045861931
140,Cotuí,0,0.0,0.0,78792.86719,0,0.0,0.884148884
141,San Antonio De Guerra,0,2423.7,215549013.2,48922.51563,1,6433.17,1.021983054
142,San Cristóbal,0,2015.8,6738726.422,227910.3281,6,4402.0,3.552375473
143,El Pino,0,0.0,0.0,5419.36377,0,0.0,0.074299126
144,Cambita Garabitos,0,0.0,0.0,31928.87305,0,0.0,0.413527663
145,Villa Jaragua,0,0.0,0.0,9937.269531,0,0.0,0.173316029
146,Ramón Santana,0,0.0,0.0,10334.79688,0,0.0,0.18175619
147,Fundación,0,0.0,0.0,12671.3252,0,0.0,0.656425447
148,Cabrera,0,0.0,0.0,24645.75391,0,0.0,0.205220497
149,Cabral,0,0.0,0.0,13459.03516,0,0.0,0.140043643
150,El Valle,0,0.0,0.0,6906.809082,0,0.0,0.104215972
151,Enriquillo,0,0.0,0.0,11650.27051,0,0.0,0.117165333
152,Santiago,0,7023.03,371919234.9,685869.4375,90,12398.47,5.789972785
153,Baitoa,0,0.0,0.0,11224.65039,0,0.0,0.563703753
154,Pedernales,0,1580.0,15804863.35,34422.76953,1,3500.0,0.057959738
155,Isla Beata,0,0.0,0.0,67.920578,0,0.0,0.0
156,La Romana,0,3816.24,169484658.3,143807.7031,10,7390.63,5.228928785
157,Isla Saona,0,0.0,0.0,1582.425903,0,0.0,0.0
158,Isla Catalina,0,0.0,0.0,304.1120605,0,0.0,0.0
159,San Luis,0,0.0,0.0,56544.86328,0,0.0,3.261093955
160,San Victor,0,0.0,0.0,78869.74219,0,0.0,1.298119324
161,Matanzas,0,1885.83,8384276.387,46780.41406,5,4141.25,0.510897482
0,Constanza,1,0.0,0.0,66922.76563,0,0.0,0.263253178
1,Sabana De La Mar,1,0.0,0.0,15843.35645,0,0.0,0.06729645
2,Moca,1,2316.78,12577321.8,121928.1797,9,4106.91,1.833165626
3,Bayaguana,1,0.0,0.0,31036.79883,0,0.0,0.054002599
4,El Factor,1,0.0,0.0,28916.03516,0,0.0,0.264412591
5,San Francisco De Macorís,1,4706.14,18544510.7,202590.0156,3,8890.34,0.923519803
6,Puerto Plata,1,1910.4,8553756.2,151930.6875,6,3575.0,1.331406165
7,Jamao Al Norte,1,0.0,0.0,7660.78125,0,0.0,0.083824438
8,Las Matas de Santa Cruz,1,0.0,0.0,8661.104492,0,0.0,0.295194573
9,Jimaní,1,0.0,0.0,24168.95117,0,0.0,0.165481914
10,Baní,1,0.0,0.0,129426.1875,0,0.0,0.938496472
11,Villa Hermosa,1,0.0,0.0,92880.66406,0,0.0,3.097651169
12,El Cercado,1,0.0,0.0,19244.60547,0,0.0,0.272936377
13,Eugenio María De Hostos,1,0.0,0.0,5901.429688,0,0.0,0.141179898
14,Bohechío,1,0.0,0.0,7128.094727,0,0.0,0.089367595
15,Arenoso,1,0.0,0.0,11950.93359,0,0.0,0.094155114
16,Tábara Arriba,1,0.0,0.0,19967.76172,0,0.0,0.136724394
17,Vicente Noble,1,0.0,0.0,28383.02148,0,0.0,0.308567935
18,Consuelo,1,0.0,0.0,28216.53516,0,0.0,0.870559424
