id,province,year,ini_edu_dropout,bas_edu_dropout,med_edu_dropout,l_inv,ent,crime,op_salary,tec_salary
19,El Seibo,4,2.06,4.2,5.0,13.122363377404328,2,18,1707.5,3722.5
20,Espaillat,4,0.83,1.5,6.8,16.347405893089817,9,32,2316.78,4106.91
21,Hermanas Mirabal,4,1.49,1.1,5.9,0.0,0,18,0.0,0.0
22,Independencia,4,2.36,2.8,10.8,0.0,0,10,0.0,0.0
23,Baoruco,4,1.52,4.6,5.5,0.0,0,21,0.0,0.0
24,Azua,4,1.41,3.2,5.6,0.0,0,36,0.0,0.0
25,Dajabón,4,0.94,2.8,7.3,0.0,0,15,0.0,0.0
26,La Altagracia,4,5.4,4.8,8.6,0.0,0,75,0.0,0.0
27,María Trinidad Sánchez,4,0.68,1.0,5.9,0.0,0,19,0.0,0.0
28,Santo Domingo,4,1.83,1.7,6.2,20.75481081397997,102,580,37303.170000000006,59850.170000000006
29,Monte Plata,4,3.87,2.5,4.6,0.0,0,29,0.0,0.0
30,San Cristóbal,4,2.5,2.1,8.2,20.0971759736296,60,108,9614.23,17297.53
31,San Pedro de Macorís,4,2.04,3.7,6.7,18.882666435270504,46,67,4773.77,10260.74
0,Santiago,5,1.33,1.7,5.4,20.513068599291103,185,204,33200.780000000006,60091.85999999999
1,Duarte,5,1.97,1.9,8.0,16.66783772813375,3,70,4839.91,9191.439999999999
2,Elías Piña,5,3.82,6.6,8.5,0.0,0,11,0.0,0.0
3,Hato Mayor,5,1.96,2.9,6.9,14.153392514748642,1,12,1666.0,5000.0
4,La Vega,5,0.81,1.8,5.9,17.72480096725001,17,69,2176.73,4754.71
5,Sánchez Ramírez,5,1.79,1.5,6.6,0.0,0,25,0.0,0.0
6,Samaná,5,4.56,2.6,6.3,0.0,0,22,0.0,0.0
7,Valverde,5,1.56,1.7,7.2,16.901195457956515,6,24,2351.49,5225.38
8,Barahona,5,1.53,3.6,6.7,16.844580891128775,2,42,3700.0,6619.0
9,La Romana,5,2.33,2.9,6.6,19.24125329728203,12,43,5132.18,9693.65
10,Monseñor Nouel,5,0.68,1.1,3.4,19.19194671186824,5,30,9218.67,16996.08
11,Monte Cristi,5,3.25,3.4,9.3,0.0,0,18,0.0,0.0
12,Pedernales,5,4.19,5.2,5.5,16.28607992670574,1,6,1800.0,3500.0
13,Peravia,5,1.1,2.6,8.3,15.429224734135719,7,51,2365.14,5295.21
